word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abandon,0.0010304693192857385,0.0009788538634526024,2.412225629105185e-05,-1.5588508269191596e-07,-1.5588508269191596e-07,0.0005473760807411556,-0.00043147778271144675,1.3499426877330942e-05,-1.0622829413720909e-05,-9.612234784755514e-07,-8.053383957836355e-07,-9.612234784755514e-07,-8.053383957836355e-07
abandonner,0.0008553995339795731,-0.00024652335925855987,-3.8049626360149603e-06,1.4899601721004016e-07,1.4899601721004016e-07,-0.00016911105500403835,7.741230425452152e-05,-2.6915998249166057e-06,1.1133628110983546e-06,2.4679789289445604e-07,9.780187568441586e-08,2.4679789289445604e-07,9.780187568441586e-08
abats,0.002458643915423196,-0.0008931946589291891,-3.091810155351909e-05,6.573029672678743e-07,6.573029672678743e-07,-0.00042664458893326175,0.00046655006999592733,-1.5807024105339455e-05,1.5111077448179637e-05,9.155975275295978e-07,2.582945602617236e-07,9.155975275295978e-07,2.582945602617236e-07
abnégation,0.0020001625106844463,0.0010311143124369577,3.646443128537862e-05,-1.8219062693257228e-07,-1.8219062693257228e-07,0.0005113539123931657,-0.000519760400043792,1.7775487479916143e-05,-1.8688943805462475e-05,-1.2785005770061471e-06,-1.0963099500735748e-06,-1.2785005770061471e-06,-1.0963099500735748e-06
aboie,0.002081515287286133,0.0013538770599478924,4.000715393085355e-05,-8.929400034299157e-07,-8.929400034299157e-07,0.0007267552355296107,-0.0006271218244182818,1.8005712027676448e-05,-2.20014419031771e-05,-9.038977849981532e-07,-1.0957781568237503e-08,-9.038977849981532e-07,-1.0957781568237503e-08
abondance,0.0013937543998768394,0.000123515017979767,3.954478267223888e-06,-2.1777523685491603e-08,-2.1777523685491603e-08,5.1620523329095286e-05,-7.189449465067171e-05,1.570718330103799e-06,-2.3837599371200887e-06,6.670922995460891e-08,8.848675364010052e-08,6.670922995460891e-08,8.848675364010052e-08
abordage,0.0023972701074630354,-0.0012856860093844985,-3.889376060543176e-05,-5.982161823591345e-07,-5.982161823591345e-07,-0.0005950380540139465,0.000690647955370552,-1.9052510674475366e-05,1.9841249930956395e-05,2.1405664369185595e-07,8.122728260509905e-07,2.1405664369185595e-07,8.122728260509905e-07
abri,0.0008301242451869616,0.00047514137485783796,1.288265397991268e-05,-1.3547578993577782e-07,-1.3547578993577782e-07,0.000203157243083886,-0.00027198413177395196,6.095295138407067e-06,-6.787358841505614e-06,-7.860414361338833e-07,-6.505656461981055e-07,-7.860414361338833e-07,-6.505656461981055e-07
abrite,0.0017895715910039157,0.00023273941173065015,1.7271861308396846e-05,4.0664799873878864e-07,4.0664799873878864e-07,0.0001040606895711591,-0.00012867872215949105,9.767473259348072e-06,-7.504388049048774e-06,8.190773225353831e-07,4.1242932379659444e-07,8.190773225353831e-07,4.1242932379659444e-07
abrège,0.0026415505693287078,-0.0017904428964109027,-5.009154853011444e-05,-2.75324507024855e-07,-2.75324507024855e-07,-0.0009232661683199917,0.0008671767280909111,-2.559362167668361e-05,2.449792685343083e-05,-7.908018036947973e-07,-5.154772966699423e-07,-7.908018036947973e-07,-5.154772966699423e-07
absente,0.001238670648105463,0.00015153420646455107,-3.2944726164558886e-07,1.2896896523503878e-07,1.2896896523503878e-07,4.579216429124592e-05,-0.00010574204217330515,-5.003989512301643e-07,-1.709516895845754e-07,1.9802580798484404e-08,-1.0916638443655436e-07,1.9802580798484404e-08,-1.0916638443655436e-07
abstient,0.0027805412215889252,-0.0006178558747534605,-2.140057224816882e-05,-2.1354224535350114e-08,-2.1354224535350114e-08,-0.00033957160722555325,0.0002782842675279072,-1.0218000019939726e-05,1.1182572228229094e-05,1.0868418013040878e-06,1.108196025839438e-06,1.0868418013040878e-06,1.108196025839438e-06
abuse,0.004265490672711893,-0.002307896047420481,-8.413675208855087e-05,1.3996052491860118e-07,1.3996052491860118e-07,-0.0012178669527007928,0.0010900290947196884,-4.726207903443574e-05,3.687467305411513e-05,-7.881238965568625e-07,-9.280844214754637e-07,-7.881238965568625e-07,-9.280844214754637e-07
abusé,0.0017097998966925816,-0.0001315626284769765,-3.232976601879838e-06,5.290124619516899e-07,5.290124619516899e-07,-7.907987046389876e-05,5.248275801307773e-05,-1.5917046823389108e-06,1.6412719195409275e-06,7.840516090499432e-07,2.5503914709825324e-07,7.840516090499432e-07,2.5503914709825324e-07
accent,0.002683820765518525,-0.0007641231808729445,-4.0208332688713484e-05,4.819388721569479e-07,4.819388721569479e-07,-0.0003980615481490257,0.0003660616327239187,-1.9593588746258577e-05,2.0614743942454907e-05,-9.850761279698199e-08,-5.804464849539298e-07,-9.850761279698199e-08,-5.804464849539298e-07
accents,0.0016351348605277345,-0.0007225238452105231,-2.2184128562826092e-05,6.159665918243491e-07,6.159665918243491e-07,-0.00038039696694746407,0.000342126878263059,-1.1213670604367568e-05,1.0970457958458526e-05,1.0967035733804628e-06,4.807369815561137e-07,1.0967035733804628e-06,4.807369815561137e-07
acceptait,0.0012514045559073165,-0.00044378861032631984,-1.9287956872876175e-05,-2.899574005767434e-07,-2.899574005767434e-07,-0.00017873290925957144,0.0002650557010667484,-7.973931067396833e-06,1.1314025805479344e-05,-1.553585750589466e-07,1.345988255177968e-07,-1.553585750589466e-07,1.345988255177968e-07
accepte,0.0009573794594071178,0.0006420996653687768,1.2466969249986588e-05,6.82984860249744e-08,6.82984860249744e-08,0.0003038846029089702,-0.00033821506245980664,6.829449022244512e-06,-5.637520227742076e-06,-6.478533343956944e-07,-7.161518204206688e-07,-6.478533343956944e-07,-7.161518204206688e-07
accepter,0.0008163671738158094,0.0005220393574008593,1.7548799755126228e-05,-1.1226230701908691e-07,-1.1226230701908691e-07,0.00025935028844477104,-0.0002626890689560882,9.89162806203739e-06,-7.657171693088837e-06,-5.303100411363237e-07,-4.180477341172368e-07,-5.303100411363237e-07,-4.180477341172368e-07
accepté,0.000851292279709476,0.0006618494327866515,2.7901492731228455e-05,-1.1262595029331962e-07,-1.1262595029331962e-07,0.00034097229182844155,-0.00032087714095821,1.5579551807840694e-05,-1.2321940923387762e-05,-3.533638122808124e-07,-2.4073786198749276e-07,-3.533638122808124e-07,-2.4073786198749276e-07
accolade,0.017481588533251487,-0.003693907988664477,-0.00023142819552356025,3.081977306766056e-06,3.081977306766056e-06,-0.0020786419091887707,0.0016152660794757061,-0.00010506100073945929,0.00012636719478410096,-1.247873778013635e-06,-4.329851084779691e-06,-1.247873778013635e-06,-4.329851084779691e-06
accompagnant,0.003276715686804643,0.0022218419508622253,5.311661781711967e-05,-5.265916175495251e-07,-5.265916175495251e-07,0.0010758158728613892,-0.0011460260780008361,2.97888750393586e-05,-2.3327742777761077e-05,-4.848890891286084e-06,-4.322299273736559e-06,-4.848890891286084e-06,-4.322299273736559e-06
