word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abandon,0.0004313129090859613,0.0002612384591972933,8.019387354006381e-06,-2.856011476243847e-10,-2.856011476243847e-10,0.00017702914925103958,-8.420930994625375e-05,4.930032793470867e-06,-3.0893545605355136e-06,-2.513355989892055e-07,-2.5104999784158113e-07,-2.513355989892055e-07,-2.5104999784158113e-07
abandonna,0.0011126110316458638,-0.00020368576402586203,-7.826034624674236e-06,-1.416013665183675e-07,-1.416013665183675e-07,-0.00023744766429823416,-3.376190027237213e-05,-7.016111044154783e-06,8.099235805194535e-07,-8.395468132352185e-08,5.7646685194845645e-08,-8.395468132352185e-08,5.7646685194845645e-08
abandonnant,0.0010973213660297515,-0.0005359697201287852,-1.544577413256332e-05,4.6136946173022563e-07,4.6136946173022563e-07,-0.0003116586054662416,0.00022431111466254358,-9.147008130368385e-06,6.2987660021949335e-06,6.383870948545654e-07,1.7701763312433975e-07,6.383870948545654e-07,1.7701763312433975e-07
abandonner,0.0010741072670282985,-0.000108886952058313,-1.3541369615083782e-06,-2.9552197300213886e-08,-2.9552197300213886e-08,-0.00010624332311763754,2.643628940675465e-06,-1.3071586521661797e-06,4.697830934219837e-08,1.9885300857992692e-07,2.284052058801408e-07,1.9885300857992692e-07,2.284052058801408e-07
abandonnerai,0.001088611992701417,-0.0001538966417990062,-1.4965864826421483e-06,-1.5084014054693844e-07,-1.5084014054693844e-07,-5.313292248843437e-05,0.00010076371931057185,-3.656795473708348e-07,1.1309069352713134e-06,-2.3107905054860068e-07,-8.023891000166225e-08,-2.3107905054860068e-07,-8.023891000166225e-08
abandonnes,0.001088611992701417,-0.0001757703309450982,-6.156082316477179e-06,3.050773213688831e-08,3.050773213688831e-08,-6.183644645824885e-05,0.00011393388448684934,-2.852188532974259e-06,3.3038937835029197e-06,6.566727263863608e-08,3.5159540501747766e-08,6.566727263863608e-08,3.5159540501747766e-08
abandonné,0.00036634544593172976,6.571550451216504e-05,3.198667116580896e-06,1.798094513260071e-08,1.798094513260071e-08,3.9548386372032026e-05,-2.6167118140133014e-05,1.7543355279429307e-06,-1.4443315886379652e-06,-9.076493701138725e-08,-1.0874588214398796e-07,-9.076493701138725e-08,-1.0874588214398796e-07
abandonnée,0.0016880121297720477,0.00018056697993522658,3.6564465234526495e-06,4.037774704876765e-07,4.037774704876765e-07,0.00019073826152521227,1.017128158998568e-05,3.4661451414366378e-06,-1.9030138201601172e-07,3.515193434687404e-07,-5.225812701893606e-08,3.515193434687404e-07,-5.225812701893606e-08
abandonnées,0.0006790680828135747,0.0003763784545759985,6.810261510202616e-06,2.5230071790027125e-07,2.5230071790027125e-07,0.000246218125410626,-0.0001301603291653725,4.607978734586146e-06,-2.202282775616471e-06,4.1980333304703315e-07,1.6750261514676193e-07,4.1980333304703315e-07,1.6750261514676193e-07
abasourdis,0.001072533148316962,-0.00032591941384140844,-1.1206250520505966e-05,1.432441638097794e-07,1.432441638097794e-07,-0.00023082355673897026,9.509585710243816e-05,-7.3293183914646244e-06,3.876932129041342e-06,3.625367143665386e-07,2.192925505567592e-07,3.625367143665386e-07,2.192925505567592e-07
