word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abaissa,0.005063023410069806,0.004344722511456907,9.187721254059464e-05,1.6855039659558308e-06,1.6855039659558308e-06,0.002709407223811989,-0.0016353152876449175,5.5023443371115095e-05,-3.685376916947955e-05,7.105788643914523e-07,-9.749251015643786e-07,7.105788643914523e-07,-9.749251015643786e-07
abaissant,0.006775761999962192,-0.001473140843923522,-1.8465256369546042e-05,-1.2076985634571164e-06,-1.2076985634571164e-06,-0.00108058311313053,0.00039255773079299185,-1.5798153239000875e-05,2.6671031305451686e-06,-8.894553921378186e-07,3.1824317131929784e-07,-8.894553921378186e-07,3.1824317131929784e-07
abaissèrent,0.007301435480703867,0.004297121360034141,9.90204486685424e-05,-5.43585777340327e-07,-5.43585777340327e-07,0.0028620655841002035,-0.0014350557759339373,6.419903234966811e-05,-3.4821416318874297e-05,-1.3335464578895795e-06,-7.899606805492525e-07,-1.3335464578895795e-06,-7.899606805492525e-07
abandon,0.005604772974889064,0.0032629076858054036,0.00012749385124042093,-1.3049500646272337e-06,-1.3049500646272337e-06,0.002044653787589572,-0.0012182538982158317,7.579905799805834e-05,-5.1694793242362594e-05,-4.068100422616399e-06,-2.763150357989165e-06,-4.068100422616399e-06,-2.763150357989165e-06
abandonna,0.0036145059134372833,-0.0018011463257680774,-3.9730402549763394e-05,7.153894662479453e-07,7.153894662479453e-07,-0.0012457375253005622,0.0005554088004675153,-2.9001682153235834e-05,1.0728720396527562e-05,9.60625913580571e-07,2.452364473326258e-07,9.60625913580571e-07,2.452364473326258e-07
abandonnait,0.003790349138913246,0.0012062143968203406,1.666299139560367e-05,2.8259346520320317e-07,2.8259346520320317e-07,0.0010391678722344443,-0.00016704652458589622,1.3947639527690938e-05,-2.7153518679127312e-06,2.378484715747452e-06,2.0958912505442487e-06,2.378484715747452e-06,2.0958912505442487e-06
abandonne,0.009428081606975652,-0.0010859109216657253,-2.678542219238338e-05,-2.262621127240722e-06,-2.262621127240722e-06,-0.0006517795405603185,0.00043413138110540687,-1.5491931011485233e-05,1.1293491180898148e-05,-2.5000025985378855e-06,-2.373814712971634e-07,-2.5000025985378855e-06,-2.373814712971634e-07
abandonnent,0.00533800357097033,0.00027149043821189905,1.2978261576473569e-05,-7.234437164477631e-07,-7.234437164477631e-07,0.000169007327033533,-0.00010248311117836608,1.0771714336541024e-05,-2.206547239932546e-06,-1.2447202062086521e-06,-5.21276489760889e-07,-1.2447202062086521e-06,-5.21276489760889e-07
abandonner,0.011631399647358145,-0.00350341053312892,-3.757521748520742e-05,9.781491806497625e-07,9.781491806497625e-07,-0.0025437336233926876,0.0009596769097362325,-1.604119509229525e-05,2.1534022392912175e-05,1.5598744167564377e-06,5.817252361066754e-07,1.5598744167564377e-06,5.817252361066754e-07
abandonné,0.0023802708098665084,0.0008830206507702955,1.571960277499386e-05,-1.3717580137920535e-07,-1.3717580137920535e-07,0.0005588194056476712,-0.0003242012451226243,1.0068390657274907e-05,-5.651212117718951e-06,-8.576574480621663e-07,-7.204816466829609e-07,-8.576574480621663e-07,-7.204816466829609e-07
abandonnée,0.005483794112655302,-0.0008068127753103297,-4.794350404196558e-06,5.47791861123731e-07,5.47791861123731e-07,-6.439662715351641e-05,0.0007424161481568133,6.837089568975881e-06,1.1631439973172438e-05,-4.611095940953893e-08,-5.939028205332699e-07,-4.611095940953893e-08,-5.939028205332699e-07
