word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abaissa,0.001353028597066957,0.0007168283379555267,2.022670090520946e-05,-6.349729997817784e-08,-6.349729997817784e-08,0.0004075658464379273,-0.0003092624915175994,1.2535348715022515e-05,-7.691352190186948e-06,-2.572331727611086e-07,-1.9373587278293076e-07,-2.572331727611086e-07,-1.9373587278293076e-07
abandon,0.002246706414593209,0.0017515774373469263,4.0529371144905266e-05,-2.202078103792935e-08,-2.202078103792935e-08,0.0010066702703447855,-0.0007449071670021409,2.5093665199382175e-05,-1.543570594552309e-05,-1.4227088180796132e-06,-1.4006880370416839e-06,-1.4227088180796132e-06,-1.4006880370416839e-06
abandonna,0.002897792170240532,-0.00037938828978883955,-1.9423855929513657e-05,-3.7772623430202016e-07,-3.7772623430202016e-07,-0.0005011196971798275,-0.00012173140739098792,-1.687783000896919e-05,2.546025920544469e-06,-2.179679801453717e-07,1.5975825415664846e-07,-2.179679801453717e-07,1.5975825415664846e-07
abandonnait,0.0010129225884316086,6.627933844266341e-05,3.935487508321208e-06,-8.816535889314862e-08,-8.816535889314862e-08,1.9118258290985668e-05,-4.716108015167775e-05,2.259467479121627e-06,-1.676020029199581e-06,3.6793210162698293e-07,4.5609746052013155e-07,3.6793210162698293e-07,4.5609746052013155e-07
abandonnant,0.0019053135206439152,-0.0009427435395467022,-2.5442900374607416e-05,8.863136361812589e-07,8.863136361812589e-07,-0.0004460294075724626,0.0004967141319742396,-1.483283162103939e-05,1.0610068753568028e-05,1.1286785066634365e-06,2.423648704821775e-07,1.1286785066634365e-06,2.423648704821775e-07
abandonne,0.0008398449566944406,1.5356460808023558e-05,6.973864129799254e-07,-2.3454317261586887e-07,-2.3454317261586887e-07,-1.768052484424527e-05,-3.303698565226883e-05,6.684674775759685e-08,-6.305396652223285e-07,-3.3715555827300133e-07,-1.0261238565713245e-07,-3.3715555827300133e-07,-1.0261238565713245e-07
abandonnent,0.0014265135469063164,-1.8179843289949647e-05,4.443558938445736e-06,-2.638021266585967e-07,-2.638021266585967e-07,-1.4125554303654569e-05,4.0542889862950774e-06,2.9974723862587373e-06,-1.4460865521869983e-06,-1.5250193336947653e-07,1.113001932891202e-07,-1.5250193336947653e-07,1.113001932891202e-07
abandonner,0.0006216687173711135,-9.465114496100355e-05,-8.388936673125494e-07,3.456221432678998e-08,3.456221432678998e-08,-7.714521543940038e-05,1.750592952160317e-05,-1.0044105708399518e-06,-1.6551690352740242e-07,9.975399564960201e-08,6.519178132281203e-08,9.975399564960201e-08,6.519178132281203e-08
abandonné,0.0012721941866228534,0.0002634209381391905,1.1616587767963517e-05,1.0101088900495586e-07,1.0101088900495586e-07,8.187183047993272e-05,-0.0001815491076592578,5.311156983485819e-06,-6.3054307844776974e-06,-3.4366872133682135e-07,-4.446796103417772e-07,-3.4366872133682135e-07,-4.446796103417772e-07
abandonnée,0.0014654742144966188,3.952736765767523e-05,3.095615964075141e-06,3.195305042546362e-07,3.195305042546362e-07,7.799996799872661e-05,3.847260034105138e-05,2.607943417002886e-06,-4.876725470722549e-07,2.521615896718586e-07,-6.73689145827776e-08,2.521615896718586e-07,-6.73689145827776e-08
abandonnés,0.0009541142843995749,0.00029444652194722174,2.0154503838274526e-06,2.1536749679286437e-07,2.1536749679286437e-07,0.00020230387386051257,-9.214264808670914e-05,1.9477275359719695e-06,-6.772284785548335e-08,7.942633770784502e-07,5.788958802855858e-07,7.942633770784502e-07,5.788958802855858e-07
abasourdi,0.001141545486927008,-0.0014115743673584558,-3.517910963339288e-05,6.255445673237873e-08,6.255445673237873e-08,-0.0007272412536475391,0.0006843331137109168,-1.9036164562648863e-05,1.6142945070744016e-05,3.9046946151448096e-07,3.2791500478210223e-07,3.9046946151448096e-07,3.2791500478210223e-07
abattit,0.0010703178838901738,-0.0004550938696027811,-7.5074718388225345e-06,-6.584178156046541e-08,-6.584178156046541e-08,-0.00019051543832332784,0.00026457843127945324,-3.697508340887168e-06,3.809963497935366e-06,-2.673555724385051e-07,-2.015137908780397e-07,-2.673555724385051e-07,-2.015137908780397e-07
abattus,0.0014080079167727974,-0.0017477861410175174,-3.369265947683427e-05,-2.0445656464541517e-07,-2.0445656464541517e-07,-0.000915761946823557,0.0008320241941939603,-1.838143825785965e-05,1.531122121897462e-05,-8.591874207198764e-07,-6.547308560744613e-07,-8.591874207198764e-07,-6.547308560744613e-07
abeilles,0.0012098365379840496,-0.00033386584004220363,-9.838844003523786e-06,-2.014300412699329e-07,-2.014300412699329e-07,-0.000218141114342975,0.00011572472569922861,-5.065157947869578e-06,4.773686055654208e-06,2.735945353357673e-07,4.750245766057002e-07,2.735945353357673e-07,4.750245766057002e-07
aboiements,0.001312437630556574,3.8656619639679414e-05,-6.609625282774411e-06,3.840995946999794e-07,3.840995946999794e-07,-5.0901498066682355e-06,-4.374676944634765e-05,-4.233347041676995e-06,2.3762782410974157e-06,5.951350327699478e-07,2.1103543806996837e-07,5.951350327699478e-07,2.1103543806996837e-07
abordait,0.0015082944240652355,-0.000771236268114013,-1.568727458878885e-05,-4.228763213818716e-07,-4.228763213818716e-07,-0.00040186857907656155,0.0003693676890374515,-8.958007432267803e-06,6.729267156521049e-06,-4.2717654718272937e-07,-4.300225800857766e-09,-4.2717654718272937e-07,-4.300225800857766e-09
aboyer,0.0014265135469063164,-7.258291704936184e-05,-5.53307375231514e-07,-7.592544373283444e-09,-7.592544373283444e-09,-0.0001424413405382228,-6.985842348886096e-05,-2.8836739112605778e-06,-2.3303665360290637e-06,-2.9279288771994185e-07,-2.852003433466584e-07,-2.9279288771994185e-07,-2.852003433466584e-07
abreuvoir,0.0019300319492831868,-0.000822656179845228,-2.8731831778129195e-05,8.618906676426458e-07,8.618906676426458e-07,-0.00031710688494575713,0.0005055492948994708,-1.42097003925197e-05,1.4522131385609495e-05,1.7276514998997416e-06,8.657608322570958e-07,1.7276514998997416e-06,8.657608322570958e-07
abri,0.0012065993825438903,0.0006034701571100481,1.8347128885055056e-05,-4.78301097838639e-07,-4.78301097838639e-07,0.0002721435413584809,-0.0003313266157515672,1.010879865799501e-05,-8.238330227060045e-06,-1.1570663168543055e-06,-6.787652190156665e-07,-1.1570663168543055e-06,-6.787652190156665e-07
abritaient,0.0015263962049945803,0.00030226881534140725,-3.2095575911439013e-06,8.847354494170852e-07,8.847354494170852e-07,0.0002282878232461514,-7.398099209525586e-05,-1.7756514614662622e-06,1.4339061296776393e-06,1.0662017800743769e-06,1.8146633065729164e-07,1.0662017800743769e-06,1.8146633065729164e-07
abritait,0.0011166530943053292,8.152404015855449e-05,1.42570098610744e-06,4.311013737950209e-07,4.311013737950209e-07,3.488654454190461e-05,-4.663749561664988e-05,5.731961251548894e-07,-8.525048609525505e-07,2.4402439413042194e-07,-1.8707697966459892e-07,2.4402439413042194e-07,-1.8707697966459892e-07
abrupte,0.0014616630255325398,-0.00010726742895390332,-5.900002220750138e-06,8.815235071877497e-08,8.815235071877497e-08,-2.0258444415373715e-05,8.70089845385296e-05,-3.1427729421467096e-06,2.757229278603428e-06,-3.0996467101389235e-09,-9.125199742891389e-08,-3.0996467101389235e-09,-9.125199742891389e-08
abrutie,0.0034844719308305006,0.001097319336742627,2.406053413507359e-05,-1.410099788604474e-06,-1.410099788604474e-06,0.0005927655428957246,-0.0005045537938469026,1.4079231330045323e-05,-9.98130280502827e-06,-1.8799327926708289e-06,-4.6983300406635477e-07,-1.8799327926708289e-06,-4.6983300406635477e-07
abrutis,0.0014153278151173845,1.550750003872593e-05,5.972065072188518e-06,-4.423716843560581e-07,-4.423716843560581e-07,1.5975421975401374e-05,4.679219366754433e-07,3.849122561203445e-06,-2.122942510985073e-06,-1.0111642848504537e-06,-5.687926004943956e-07,-1.0111642848504537e-06,-5.687926004943956e-07
absent,0.0014767653173989555,-4.982645633805172e-05,1.831405827614497e-06,4.281927514465735e-07,4.281927514465735e-07,1.3812429064755228e-05,6.363888540280694e-05,2.0015574405606086e-06,1.7015161294611155e-07,2.794666120922763e-07,-1.487261393542972e-07,2.794666120922763e-07,-1.487261393542972e-07
absente,0.0018004283670123153,0.0001247355660469378,2.797102674382767e-07,6.177977050944898e-07,6.177977050944898e-07,5.8273375689881646e-05,-6.646219035705614e-05,-2.9555214266066718e-08,-3.092654817043434e-07,3.707993921492832e-07,-2.4699831294520655e-07,3.707993921492832e-07,-2.4699831294520655e-07
absents,0.0011883478434269823,0.0005284132760122506,8.603203962639562e-06,2.97654921476167e-07,2.97654921476167e-07,0.00033301696773477724,-0.0001953963082774734,6.076084502008942e-06,-2.527119460630619e-06,1.2103595504089784e-07,-1.7661896643526917e-07,1.2103595504089784e-07,-1.7661896643526917e-07
absolu,0.0008283756907953988,0.00011408078950791101,2.1467281547610896e-06,9.319966171452873e-08,9.319966171452873e-08,3.0126059566322936e-05,-8.395472994158808e-05,9.007946104459506e-07,-1.245933544315139e-06,-3.6870625656787677e-07,-4.619059182824055e-07,-3.6870625656787677e-07,-4.619059182824055e-07
absolue,0.0016145727730578338,-4.291858373027721e-05,3.7654220795885817e-06,-8.546763106791751e-07,-8.546763106791751e-07,-0.00011132216611294344,-6.840358238266624e-05,2.0022905378967095e-06,-1.7631315416918723e-06,-1.521628379422928e-06,-6.66952068743753e-07,-1.521628379422928e-06,-6.66952068743753e-07
absolument,0.0017926858301736475,8.09746769947985e-05,7.22427706484015e-06,-1.8152194062440857e-07,-1.8152194062440857e-07,6.643803210763101e-05,-1.4536644887167494e-05,5.5305869318907e-06,-1.6936901329494498e-06,-1.5201972966387428e-07,2.9502210960534286e-08,-1.5201972966387428e-07,2.9502210960534286e-08
absorbant,0.0017078951695287954,0.00013688133809780577,7.12888227838069e-06,-3.313247437751592e-07,-3.313247437751592e-07,5.076188765973967e-05,-8.611945043806611e-05,3.207280494579935e-06,-3.921601783800755e-06,-9.313889954050367e-07,-6.000642516298775e-07,-9.313889954050367e-07,-6.000642516298775e-07
abysses,0.0038810223197016215,0.002236274587369893,5.8929974024492997e-05,5.352687843079763e-07,5.352687843079763e-07,0.0012648186518660095,-0.0009714559355038834,3.450797686676832e-05,-2.4421997157724676e-05,-1.279233146082006e-06,-1.8145019303899824e-06,-1.279233146082006e-06,-1.8145019303899824e-06
abîmer,0.0011331089439933087,-3.583915117324041e-05,-5.717396662488147e-07,2.161369865450579e-07,2.161369865450579e-07,-1.254615424363354e-05,2.3292996929606873e-05,3.77856181479129e-07,9.495958477279437e-07,-9.32051690967049e-08,-3.093421556417628e-07,-9.32051690967049e-08,-3.093421556417628e-07
abîmé,0.001219693179218677,0.0006862480387522732,2.186264352015773e-05,-2.2538000667154344e-07,-2.2538000667154344e-07,0.00037268929364958473,-0.00031355874510268845,1.1892455114240311e-05,-9.97018840591742e-06,-2.5857236889945267e-07,-3.319236222790924e-08,-2.5857236889945267e-07,-3.319236222790924e-08
accentuait,0.0027803314311425713,0.0008374803919659689,1.7772446908891244e-05,7.197012146979759e-07,7.197012146979759e-07,0.0005399898154390308,-0.00029749057652693814,1.1613568653975966e-05,-6.158878254915277e-06,9.147440132389254e-07,1.9504279854094954e-07,9.147440132389254e-07,1.9504279854094954e-07
accepta,0.0018083186717303729,0.0011440338098045247,3.854201071558534e-05,-2.1798961018696354e-07,-2.1798961018696354e-07,0.0006947376686321184,-0.00044929614117240625,2.3953585835317332e-05,-1.4588424880268004e-05,-1.414200605522496e-06,-1.1962109953355325e-06,-1.414200605522496e-06,-1.1962109953355325e-06
acceptaient,0.0015172630291734237,0.0005939760488547836,7.844782104077836e-06,3.736796207970744e-07,3.736796207970744e-07,0.0003655336842370209,-0.0002284423646177627,4.644853318780278e-06,-3.1999287852975586e-06,9.577036437480499e-07,5.840240229509755e-07,9.577036437480499e-07,5.840240229509755e-07
acceptait,0.0027284059703562348,-0.0016383141196440452,-3.244989443151432e-05,-6.112706409100375e-07,-6.112706409100375e-07,-0.0006125288085590839,0.0010257853110849614,-1.2947021032832732e-05,1.9502873398681588e-05,-4.2350674318706174e-08,5.689199665913312e-07,-4.2350674318706174e-08,5.689199665913312e-07
