word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
ab,0.002087267239992885,-0.0005894508252233879,-1.2184687763721514e-05,6.861647866752558e-07,6.861647866752558e-07,-0.00029505416820986243,0.00029439665701352555,-6.224026132329496e-06,5.960661631392018e-06,6.75574705469343e-07,-1.0590081205912749e-08,6.75574705469343e-07,-1.0590081205912749e-08
abaissa,0.0013975446435415763,0.000881978761051721,2.1246228109666104e-05,-1.307245149732655e-07,-1.307245149732655e-07,0.0005505154192283265,-0.0003314633418233945,1.3288054609379524e-05,-7.95817350028658e-06,-2.4782699942174446e-07,-1.1710248444847895e-07,-2.4782699942174446e-07,-1.1710248444847895e-07
abandon,0.000773541796562106,0.00028098199350391556,1.4382438295880437e-05,-5.122138015811361e-10,-5.122138015811361e-10,0.00020332079404959734,-7.766119945431819e-05,8.8418091455999e-06,-5.540629150280537e-06,-4.5075996263162e-07,-4.5024774883003885e-07,-4.5075996263162e-07,-4.5024774883003885e-07
abandonnait,0.0010462487938936072,0.0003669405986563158,4.277180748499806e-06,2.641157408840978e-08,2.641157408840978e-08,0.000197635439771069,-0.00016930515888524683,2.335296626176803e-06,-1.941884122323003e-06,4.3332358845248337e-07,4.069120143640736e-07,4.3332358845248337e-07,4.069120143640736e-07
abandonner,0.000642122264010335,-3.199089020311387e-05,-8.095294745649716e-07,-1.766687966779496e-08,-1.766687966779496e-08,-4.3830700665718776e-05,-1.1839810462604903e-05,-7.814449253954558e-07,2.8084549169515812e-08,1.1887820517952553e-07,1.3654508484732048e-07,1.1887820517952553e-07,1.3654508484732048e-07
abandonné,0.0006570253485084013,0.00010092977969501375,5.7366766814553785e-06,3.2248078619377256e-08,3.2248078619377256e-08,6.224726904785438e-05,-3.868251064715937e-05,3.1463279384184705e-06,-2.5903487430369085e-06,-1.6278314643868446e-07,-1.9503122505806172e-07,-1.6278314643868446e-07,-1.9503122505806172e-07
abandons,0.001962363649731175,-0.0008832557941045461,-4.0829344804770766e-05,1.132948840139984e-08,1.132948840139984e-08,-0.0005450026129275343,0.0003382531811770118,-2.4042448612503487e-05,1.6786896192267283e-05,9.993307987999854e-07,9.880013103985855e-07,9.993307987999854e-07,9.880013103985855e-07
abasourdi,0.0011791035193729547,-0.0011970799604878435,-3.6318135745644055e-05,6.097713448610065e-08,6.097713448610065e-08,-0.0006940564317202403,0.0005030235287676034,-2.1231932723239556e-05,1.5086203022404495e-05,4.059281394744462e-07,3.4495100498834554e-07,4.059281394744462e-07,3.4495100498834554e-07
abats,0.001845628778895825,-0.0006694049110135529,-1.993688267213806e-05,3.7070046919785314e-07,3.7070046919785314e-07,-0.00039035439928269337,0.0002790505117308595,-1.2428982132950918e-05,7.507900539187144e-06,5.875852807918751e-07,2.1688481159402193e-07,5.875852807918751e-07,2.1688481159402193e-07
abattre,0.0015733724012306333,-0.0009159585971917439,-3.476859396494399e-05,7.278969602963177e-07,7.278969602963177e-07,-0.00047671200791535735,0.0004392465892763865,-1.9272858372051475e-05,1.549573559289252e-05,8.932325069841062e-07,1.6533554668778854e-07,8.932325069841062e-07,1.6533554668778854e-07
