word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abandonna,0.0012767141168447264,-0.0001890605239362426,-7.989418736622695e-06,3.017681339877051e-07,3.017681339877051e-07,-0.0001392464945144575,4.9814029421785105e-05,-4.448446157107767e-06,3.5409725795149285e-06,1.83356297335271e-07,-1.1841183665243409e-07,1.83356297335271e-07,-1.1841183665243409e-07
abandonnait,0.0026776507601941487,-0.0002623933287927018,-3.672275831687462e-07,1.198490345786479e-07,1.198490345786479e-07,8.45056905003508e-05,0.00034689901929305263,3.878887623196678e-06,4.246115206365424e-06,1.2407286709595052e-06,1.1208796363808573e-06,1.2407286709595052e-06,1.1208796363808573e-06
abandonné,0.0025222744831368193,0.00044780721581680826,1.1001601217261014e-05,3.061230715786949e-07,3.061230715786949e-07,0.0002202626725638918,-0.00022754454325291646,6.250031686035895e-06,-4.751569531225119e-06,-2.3452646318264606e-07,-5.406495347613409e-07,-2.3452646318264606e-07,-5.406495347613409e-07
abandonnée,0.0009684916175498885,-3.142726328422815e-05,-1.1059758646165517e-06,-1.1849607347026137e-07,-1.1849607347026137e-07,-8.680573258917109e-06,2.274669002531104e-05,-8.816895905155525e-08,1.0178069055649964e-06,-5.731034201175219e-08,6.118573145850917e-08,-5.731034201175219e-08,6.118573145850917e-08
abasourdi,0.0015088320547768516,-0.0009187206144872051,-3.414780230242796e-05,-5.398146814724522e-07,-5.398146814724522e-07,-0.0004106177766592542,0.0005081028378279509,-1.73021130859353e-05,1.684568921649266e-05,-2.91412347533003e-07,2.484023339394492e-07,-2.91412347533003e-07,2.484023339394492e-07
abats,0.0023617467144001073,-0.000823563079127373,-1.9000230887727246e-05,4.5886350635390215e-08,4.5886350635390215e-08,-0.0003526302733333015,0.00047093280579407147,-8.583268505389456e-06,1.0416962382337789e-05,6.112577179709887e-07,5.653713673355985e-07,6.112577179709887e-07,5.653713673355985e-07
aboie,0.001999481039073301,0.0009284819027859159,2.286888275783286e-05,4.5982819328565616e-08,4.5982819328565616e-08,0.0004884048548994394,-0.00044007704788647645,1.0962727271351445e-05,-1.1906155486481415e-05,-2.8937562847285194e-07,-3.3535844780141756e-07,-2.8937562847285194e-07,-3.3535844780141756e-07
abois,0.0018805219298124397,0.0006704122323610724,1.2418174821990404e-05,4.2913370665118117e-07,4.2913370665118117e-07,0.0004485200026329256,-0.0002218922297281468,8.986313769029474e-06,-3.4318610529609304e-06,1.0588812182747786e-07,-3.232455848237033e-07,1.0588812182747786e-07,-3.232455848237033e-07
abominable,0.0013091091311671684,-0.0002810602274518368,-1.0161462973519588e-05,-6.574844972208133e-07,-6.574844972208133e-07,-0.00012786270302512842,0.00015319752442670838,-5.670054013238095e-06,4.491408960281494e-06,-3.4304269679829834e-07,3.14441800422515e-07,-3.4304269679829834e-07,3.14441800422515e-07
abondante,0.0015926769131811734,-0.0005415462299352832,-1.6998150246461887e-05,-1.7749353538987227e-07,-1.7749353538987227e-07,-0.0003388770471635876,0.00020266918277169567,-9.338249802059666e-06,7.65990044440222e-06,-2.9238546205702706e-07,-1.1489192666715478e-07,-2.9238546205702706e-07,-1.1489192666715478e-07
abondantes,0.002130184662267274,-7.046918382697524e-05,-1.101687112662059e-05,-5.419456421342967e-08,-5.419456421342967e-08,-0.00011432081376135977,-4.385162993438453e-05,-6.680247903782e-06,4.3366232228385904e-06,-6.465343471980896e-07,-5.923397829846599e-07,-6.465343471980896e-07,-5.923397829846599e-07
abonnement,0.004663218083789833,-0.0006999099085070535,-2.87681923655101e-05,-3.701584079561655e-07,-3.701584079561655e-07,-0.0007122301973531746,-1.2320288846121127e-05,-2.2924157249462186e-05,5.844035116047914e-06,-1.2901023168436978e-06,-9.199439088875324e-07,-1.2901023168436978e-06,-9.199439088875324e-07
abonné,0.0021986975811891414,-0.0009257987965983557,-1.6901326825191117e-05,2.726663940973063e-07,2.726663940973063e-07,-0.00038573262010138063,0.000540066176496975,-8.053061543844084e-06,8.84826528134703e-06,1.5623178577242423e-06,1.289651463626936e-06,1.5623178577242423e-06,1.289651463626936e-06
aborda,0.0018191686824136103,-0.0010436400690532087,-2.252366172659957e-05,2.978618922869809e-07,2.978618922869809e-07,-0.0006902145824299553,0.0003534254866232533,-1.459024044292029e-05,7.933421283679278e-06,8.211400594344325e-07,5.232781671474516e-07,8.211400594344325e-07,5.232781671474516e-07
abordait,0.001993580633564655,-0.0005983489410853534,-2.197463328177914e-05,-5.840262759073874e-07,-5.840262759073874e-07,-0.0002996514110713061,0.0002986975300140473,-1.1174284908473707e-05,1.0800348373305431e-05,-5.558394971039379e-07,2.8186778803449497e-08,-5.558394971039379e-07,2.8186778803449497e-08
aborder,0.0011398631784734856,0.0003649689156821498,1.1500152961200277e-05,-2.611341723691321e-07,-2.611341723691321e-07,0.00016229169714553323,-0.00020267721853661655,5.658588513584679e-06,-5.841564447615597e-06,-3.273239080657556e-07,-6.618973569662346e-08,-3.273239080657556e-07,-6.618973569662346e-08
abords,0.00134756824370444,-0.00046307519815332444,-1.7859211644566323e-05,-1.1827783270210894e-07,-1.1827783270210894e-07,-0.00023631208948558173,0.00022676310866774274,-1.003576268560809e-05,7.823448958958233e-06,-2.456970754821904e-07,-1.2741924278008147e-07,-2.456970754821904e-07,-1.2741924278008147e-07
aboutir,0.001681439091752404,-0.0010247047685933166,-3.442327594539352e-05,4.3761861281454205e-07,4.3761861281454205e-07,-0.0005168224421424039,0.0005078823264509128,-1.649832297411655e-05,1.7924952971276974e-05,3.8254585301202293e-07,-5.50727598025191e-08,3.8254585301202293e-07,-5.50727598025191e-08
aboutissait,0.004136277066987795,-0.001410390808534329,-3.9817514364059824e-05,6.156997885752894e-07,6.156997885752894e-07,-0.0008662333010732193,0.0005441575074611098,-1.8643269224369185e-05,2.117424513969064e-05,-9.375462272346883e-08,-7.094544112987582e-07,-9.375462272346883e-08,-7.094544112987582e-07
aboutit,0.0019481908578497032,0.0007026168965826927,1.8637636218973603e-05,2.4032796084453986e-07,2.4032796084453986e-07,0.00034391561959334986,-0.00035870127698934293,8.34242965273191e-06,-1.0295206566241694e-05,-5.291196312898789e-07,-7.694475921344188e-07,-5.291196312898789e-07,-7.694475921344188e-07
aboya,0.0019319458150918417,0.001548658146922198,3.4556206457716645e-05,3.4716159864786164e-07,3.4716159864786164e-07,0.0007213077928160282,-0.0008273503541061698,1.646613439244688e-05,-1.8090072065269765e-05,-1.790492768592609e-07,-5.262108755071225e-07,-1.790492768592609e-07,-5.262108755071225e-07
abri,0.0007974083584514173,0.000518602443073839,9.073576552807855e-06,-5.071259262039032e-08,-5.071259262039032e-08,0.00027154684554896397,-0.000247055597524875,4.5599175840396035e-06,-4.513658968768253e-06,-5.032750798756221e-07,-4.525624872552318e-07,-5.032750798756221e-07,-4.525624872552318e-07
abritait,0.0014759306589605663,0.00017303927547708455,4.509076445446192e-06,-7.468806819224881e-08,-7.468806819224881e-08,1.9249217044119763e-05,-0.0001537900584329648,7.42719203404388e-07,-3.766357242041804e-06,1.800381458504331e-07,2.547262140426819e-07,1.800381458504331e-07,2.547262140426819e-07
absents,0.0015706928360903958,0.0004532457766224262,1.4605350561774374e-05,3.046954260395139e-07,3.046954260395139e-07,0.00019355590919544087,-0.00025968986742698534,6.337477959017686e-06,-8.267872602756688e-06,2.482846838771052e-08,-2.7986695765180334e-07,2.482846838771052e-08,-2.7986695765180334e-07
absolue,0.004268107022730281,0.0007918812636145308,1.1135740539323386e-05,-1.3196180247843629e-06,-1.3196180247843629e-06,0.0007444697442559202,-4.7411519358610565e-05,1.0098589807509494e-05,-1.0371507318138929e-06,-2.0203570409260736e-06,-7.007390161417107e-07,-2.0203570409260736e-06,-7.007390161417107e-07
absolument,0.003159298075210446,0.0004808088186956212,1.7630217529695204e-05,3.8430090724176245e-07,3.8430090724176245e-07,0.0002622476227275315,-0.00021856119596808972,9.77711172676496e-06,-7.853105802930244e-06,6.163654904058057e-07,2.3206458316404323e-07,6.163654904058057e-07,2.3206458316404323e-07
absorbée,0.0015706928360903958,0.0009832025783291943,3.4125772254969976e-05,6.863595255555147e-07,6.863595255555147e-07,0.0004809151543261432,-0.000502287424003051,1.6288746533500732e-05,-1.7837025721469244e-05,7.590454520023149e-07,7.268592644680022e-08,7.590454520023149e-07,7.268592644680022e-08
abstient,0.0026709577800782783,-0.0008031341429445768,-1.7979568701174642e-05,1.751586463646181e-07,1.751586463646181e-07,-0.00044198580238134484,0.00036114834056323196,-1.0123000998815782e-05,7.85656770235886e-06,9.465806684377829e-07,7.714220220731648e-07,9.465806684377829e-07,7.714220220731648e-07
absurde,0.0021601669031309774,-0.0006013901523881041,-1.1913629842424993e-05,2.2853618187012018e-07,2.2853618187012018e-07,-0.0003970639386159247,0.00020432621377217944,-5.840186316702469e-06,6.073443525722524e-06,7.121052762113165e-07,4.835690943411963e-07,7.121052762113165e-07,4.835690943411963e-07
abuse,0.002048692069312449,-0.000423066981026187,-1.967328472018313e-05,-2.092052241108592e-07,-2.092052241108592e-07,-0.0003262163699088428,9.685061111734416e-05,-1.1622645605919709e-05,8.05063911426342e-06,-7.001941835653103e-07,-4.909889594544511e-07,-7.001941835653103e-07,-4.909889594544511e-07
