word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abaissa,0.004550586482738486,0.0023847844025233246,5.5992817292770165e-05,1.246824574225259e-06,1.246824574225259e-06,0.0010988067652321078,-0.0012859776372912168,2.6835977064600735e-05,-2.9156840228169427e-05,9.440992097044208e-08,-1.1524146532548168e-06,9.440992097044208e-08,-1.1524146532548168e-06
abaisse,0.005164958191578339,-0.00014794753583407202,-5.158006114264482e-06,1.5379306334412425e-06,1.5379306334412425e-06,-0.00019549849684965623,-4.7550961015584206e-05,-5.547031864054464e-07,4.603302927859036e-06,9.208140873687651e-07,-6.171165460724773e-07,9.208140873687651e-07,-6.171165460724773e-07
abandon,0.005037504682996617,0.0029842369131756934,7.654540318952131e-05,4.844600759740539e-07,4.844600759740539e-07,0.0016416991475121515,-0.0013425377656635419,4.307095899262462e-05,-3.347444419689669e-05,-2.2347002786486006e-06,-2.7191603546226545e-06,-2.2347002786486006e-06,-2.7191603546226545e-06
abandonna,0.003248675824558206,-0.00048215205062259755,-2.032955628788991e-05,7.678671588050825e-07,7.678671588050825e-07,-0.0002492974418562924,0.00023285460876630516,-1.1319338681051379e-05,9.01021760683853e-06,4.6656112169083664e-07,-3.013060371142459e-07,4.6656112169083664e-07,-3.013060371142459e-07
abandonnai,0.012779420736148222,-0.0010361748529185025,-6.178617126730482e-05,-1.840931070069152e-06,-1.840931070069152e-06,-0.0010835966808443666,-4.742182792586405e-05,-4.18148434065196e-05,1.997132786078522e-05,-2.573875675768993e-06,-7.329446056998409e-07,-2.573875675768993e-06,-7.329446056998409e-07
abandonnant,0.006408064080253887,-0.002721789698230002,-9.95780861080736e-05,1.7562418369994895e-06,1.7562418369994895e-06,-0.0015721528474024814,0.001149636850827521,-5.143690508169736e-05,4.814118102637623e-05,4.485829374346046e-07,-1.3076588995648849e-06,4.485829374346046e-07,-1.3076588995648849e-06
abandonne,0.005649233306398007,8.339439872974292e-05,-2.452280267782572e-06,-8.689678461896627e-07,-8.689678461896627e-07,0.0002606430831829914,0.00017724868445324847,3.4576703144962203e-06,5.909950582278792e-06,-9.329471376112497e-07,-6.397929142158688e-08,-9.329471376112497e-07,-6.397929142158688e-08
abandonner,0.004181666622779246,-0.0008353168776010809,-1.0578023875727092e-05,8.803719048957785e-07,8.803719048957785e-07,-0.0004687318247536184,0.0003665850528474625,-4.152572056442734e-06,6.425451819284357e-06,8.238165917219089e-07,-5.6555313173869616e-08,8.238165917219089e-07,-5.6555313173869616e-08
abandonné,0.0042787193719438805,0.0008092783185686024,1.8662823798682755e-05,5.192990395453595e-07,5.192990395453595e-07,0.00046330685573771644,-0.00034597146283088596,1.0602387578788444e-05,-8.06043621989431e-06,-3.9784445664498175e-07,-9.171434961903412e-07,-3.9784445664498175e-07,-9.171434961903412e-07
abandonnées,0.003965576470336,0.00036808057330446007,2.2330906553605545e-05,1.6565007055316956e-06,1.6565007055316956e-06,5.716654221207491e-06,-0.0003623639190832526,6.87690999643489e-06,-1.5453996557170657e-05,2.3541061570873476e-06,6.97605451555652e-07,2.3541061570873476e-06,6.97605451555652e-07
