word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abandon,0.0006511844717013827,0.00040467738154665754,1.4168272057753525e-05,-1.6477021249126872e-07,-1.6477021249126872e-07,0.000252976631520125,-0.00015170075002653253,9.172885902100293e-06,-4.995386155653232e-06,-5.824082118526007e-07,-4.1763799936133194e-07,-5.824082118526007e-07,-4.1763799936133194e-07
abandonne,0.002921043840266034,0.0006499207746626871,4.025612265755429e-06,-1.015204730145034e-06,-1.015204730145034e-06,0.0003245505049709027,-0.00032537026969178443,8.490313695178913e-07,-3.176580896237537e-06,-1.179805030102092e-06,-1.6460029995705806e-07,-1.179805030102092e-06,-1.6460029995705806e-07
abandonner,0.004324420985297792,-0.0008570380979735098,-1.8735519658972228e-05,1.0312044825174513e-06,1.0312044825174513e-06,-0.000528317159253531,0.0003287209387199789,-1.2830716850389889e-05,5.9048028085823375e-06,9.936990673544158e-07,-3.75054151630355e-08,9.936990673544158e-07,-3.75054151630355e-08
abandonnerai,0.0016435567088806504,0.00011718397992655469,-4.591586924160939e-06,-2.9927661404374164e-07,-2.9927661404374164e-07,9.367966496952173e-05,-2.3504314957032962e-05,-1.8285341349462494e-06,2.763052789214689e-06,-5.009550685892579e-07,-2.0167845454551618e-07,-5.009550685892579e-07,-2.0167845454551618e-07
abandonné,0.001106196733943411,0.00015395002002356825,8.425182090539016e-06,-2.503705885426887e-08,-2.503705885426887e-08,0.00010297877733601824,-5.097124268755001e-05,4.6013456381071e-06,-3.823836452431917e-06,-4.1453877227831957e-07,-3.895017134240507e-07,-4.1453877227831957e-07,-3.895017134240507e-07
abandonnée,0.002548514695005484,8.722056585687698e-05,7.834415779721498e-07,-8.194115986418347e-09,-8.194115986418347e-09,4.361965821104392e-05,-4.3600907645833054e-05,3.3072870628633328e-06,2.523845484891183e-06,-3.1830990364673306e-08,-2.363687437825496e-08,-3.1830990364673306e-08,-2.363687437825496e-08
abandonnées,0.002050476957405871,0.0007168434183186703,1.474704186333307e-05,1.1545312531161772e-06,1.1545312531161772e-06,0.0004113773111221229,-0.0003054661071965474,8.819433228619643e-06,-5.927608634713427e-06,1.8013759488050098e-06,6.468446956888324e-07,1.8013759488050098e-06,6.468446956888324e-07
abandonnés,0.0016592405724055602,-0.0001647664410529797,1.068273573235784e-06,7.713096179804255e-07,7.713096179804255e-07,-4.987868895461865e-05,0.00011488775209836106,1.0189544680316048e-06,-4.9319105204179254e-08,1.530309291935173e-06,7.589996739547475e-07,1.530309291935173e-06,7.589996739547475e-07
abasourdie,0.0023251324854503728,0.0028762861471575687,7.871202330413273e-05,-9.756321345204813e-07,-9.756321345204813e-07,0.0016251704588714382,-0.0012511156882861307,4.583662557169028e-05,-3.287539773244245e-05,-8.193411153878012e-07,1.5629101913268014e-07,-8.193411153878012e-07,1.5629101913268014e-07
abat,0.0016541785947514229,-0.0013981067727775217,-4.0386659744125165e-05,-2.0076160843327526e-07,-2.0076160843327526e-07,-0.0008255592240594562,0.0005725475487180654,-2.2807595818775065e-05,1.75790639253501e-05,6.351137405644027e-07,8.358753489976779e-07,6.351137405644027e-07,8.358753489976779e-07
abattage,0.0017793070278714902,-0.0009421766777426282,-3.2296558376550005e-05,2.5901049953987323e-07,2.5901049953987323e-07,-0.0005605078520857849,0.0003816688256568433,-1.9294819983355137e-05,1.300173839319487e-05,1.451371863088359e-06,1.1923613635484857e-06,1.451371863088359e-06,1.1923613635484857e-06
abatte,0.0016692750378566343,0.0005441204903924761,2.9997923055475534e-05,-4.762107021415976e-07,-4.762107021415976e-07,0.0003147259061733639,-0.00022939458421911217,1.7306908090373883e-05,-1.2691014965101652e-05,-5.842714346546077e-07,-1.0806073251301008e-07,-5.842714346546077e-07,-1.0806073251301008e-07
abattre,0.0006622497196909039,-0.0007266490343587153,-1.9672264963763343e-05,4.496826607004237e-07,4.496826607004237e-07,-0.00038218923342082337,0.0003444598009378919,-1.1463284035925061e-05,8.208980927838282e-06,4.945284370850521e-07,4.484577638462835e-08,4.945284370850521e-07,4.484577638462835e-08
abattu,0.0007704026837623168,-0.0013395160235760842,-3.3917257691026484e-05,1.242320704958146e-07,1.242320704958146e-07,-0.0008049149204207757,0.0005346011031553085,-2.101279095958583e-05,1.2904466731440652e-05,2.2293734595014342e-07,9.870527545432881e-08,2.2293734595014342e-07,9.870527545432881e-08
abbé,0.0010737288018606709,-0.0008165884004490225,-2.5491372351391084e-05,-6.890515240545597e-08,-6.890515240545597e-08,-0.00046066657305449924,0.0003559218273945233,-1.4720489556175378e-05,1.0770882795215706e-05,2.4503214175354386e-07,3.1393729415899983e-07,2.4503214175354386e-07,3.1393729415899983e-07
abords,0.0008865067620026642,-0.00046883313374330835,-1.995316143027273e-05,2.2489308537532855e-07,2.2489308537532855e-07,-0.00023798283879549923,0.00023085029494780912,-1.1416403227561113e-05,8.53675820271162e-06,3.2212487677991215e-08,-1.9268059769733734e-07,3.2212487677991215e-08,-1.9268059769733734e-07
abouti,0.0012570927337334703,-0.0002008724096488791,-4.947032811796322e-06,6.649297085878147e-07,6.649297085878147e-07,-0.00014986309787487173,5.100931177400737e-05,-4.631914172577826e-06,3.151186392184959e-07,7.469566185086747e-07,8.202690992086e-08,7.469566185086747e-07,8.202690992086e-08
abri,0.0015737412301317277,0.0012910057535676324,2.417213942888414e-05,-7.074908002104893e-07,-7.074908002104893e-07,0.0006834324881443884,-0.0006075732654232439,1.3073680759496482e-05,-1.1098458669387657e-05,-1.808037583661754e-06,-1.1005467834512647e-06,-1.808037583661754e-06,-1.1005467834512647e-06
abrite,0.002261767932823919,-0.00016717549099311475,1.592472568254123e-05,3.502168720400808e-07,3.502168720400808e-07,-7.007155122437759e-05,9.710393976873718e-05,1.1246776262419821e-05,-4.67794942012141e-06,7.295282361505866e-07,3.7931136411050577e-07,7.295282361505866e-07,3.7931136411050577e-07
abritent,0.0015816229705610918,0.0002942285677458033,3.3935530531941466e-06,-2.4196888012329057e-07,-2.4196888012329057e-07,0.00017270789143568829,-0.000121520676310115,4.143420567192444e-06,7.498675139982972e-07,1.9661283539997338e-07,4.3858171552326395e-07,1.9661283539997338e-07,4.3858171552326395e-07
abruti,0.000976261303261199,0.00048535216580171745,1.448800619320193e-05,-9.972577415810109e-08,-9.972577415810109e-08,0.0002846395545926757,-0.00020071261120904174,8.12209908566081e-06,-6.365907107541119e-06,-2.420811521794589e-07,-1.4235537802135783e-07,-2.420811521794589e-07,-1.4235537802135783e-07
abrutie,0.0015149068868308211,0.0008962676299645283,1.657627413119853e-05,-7.145738069520214e-07,-7.145738069520214e-07,0.0005176654708809428,-0.00037860215908358557,9.618839622172551e-06,-6.95743450902598e-06,-7.564932801854534e-07,-4.191947323343198e-08,-7.564932801854534e-07,-4.191947323343198e-08
abrutis,0.0036919623348497157,0.0009571937746221139,2.8597991476902204e-05,-1.963526480755144e-06,-1.963526480755144e-06,0.0006920090710348346,-0.0002651847035872792,1.835190949797981e-05,-1.0246081978922396e-05,-3.046033117836928e-06,-1.082506637081784e-06,-3.046033117836928e-06,-1.082506637081784e-06
abrège,0.0016692750378566343,-0.0009171620184552547,-3.0259754369382644e-05,-6.799256463537725e-07,-6.799256463537725e-07,-0.0005298376120176088,0.00038732440643764583,-1.768612112384767e-05,1.2573633245534976e-05,-1.0779295954794801e-06,-3.980039491257076e-07,-1.0779295954794801e-06,-3.980039491257076e-07
absences,0.0010648958859752933,-0.0004935170325005243,-1.928600566497721e-05,-3.5669757389927497e-07,-3.5669757389927497e-07,-0.0002492363333772968,0.00024428069912322745,-1.0963097308993386e-05,8.322908355983824e-06,-1.0211020190804002e-06,-6.644044451811253e-07,-1.0211020190804002e-06,-6.644044451811253e-07
absent,0.0006420375867477196,-8.672925378218159e-05,-1.9057618420143645e-06,2.6827396452424864e-07,2.6827396452424864e-07,-5.389502160196057e-05,3.2834232180221024e-05,-8.817830899856394e-07,1.023978752028725e-06,1.3827320249842532e-07,-1.3000076202582335e-07,1.3827320249842532e-07,-1.3000076202582335e-07
absente,0.0031310125454590177,-0.00018663834818348347,-5.659502646011388e-07,4.98674642306287e-07,4.98674642306287e-07,-0.00013828718865871675,4.8351159524766706e-05,-1.0368205792209792e-06,-4.7087031461984035e-07,3.2196883064562107e-07,-1.767058116606659e-07,3.2196883064562107e-07,-1.767058116606659e-07
absenter,0.0011680796657691942,0.0004953891791584215,2.105728784691091e-05,1.2605281515014505e-07,1.2605281515014505e-07,0.00032670242665756665,-0.0001686867525008549,1.3881683253009603e-05,-7.175604593901308e-06,-2.528357714022896e-07,-3.7888858655243466e-07,-2.528357714022896e-07,-3.7888858655243466e-07
absolument,0.0036371393136458486,0.0005137585065022858,1.7192816687006478e-05,4.132314771536023e-08,4.132314771536023e-08,0.0004146650455919555,-9.90934609103303e-05,1.328530636487929e-05,-3.9075103221271865e-06,3.4295639946199216e-07,3.0163325174663193e-07,3.4295639946199216e-07,3.0163325174663193e-07
absorbe,0.0012816303569218952,0.0005567167650109665,8.629302412566041e-06,-2.7119877520531374e-07,-2.7119877520531374e-07,0.00030292229159533713,-0.0002537944734156294,5.3045808415950545e-06,-3.324721570970987e-06,-5.44875522186165e-07,-2.736767469808513e-07,-5.44875522186165e-07,-2.736767469808513e-07
absorber,0.0009674463782662694,-0.00033618089509698687,-1.2916382755141212e-05,5.983670286922714e-08,5.983670286922714e-08,-0.00017952141427758945,0.00015665948081939742,-6.4153020109573206e-06,6.501080744183892e-06,6.091386137118012e-08,1.077158501952982e-09,6.091386137118012e-08,1.077158501952982e-09
absorbé,0.0008411965504773877,-0.00037729517301393937,-8.762859485137312e-06,-1.729192623198029e-07,-1.729192623198029e-07,-0.00025376324941939215,0.00012353192359454722,-5.198410938023711e-06,3.5644485471136017e-06,-1.3124688299786035e-07,4.1672379321942555e-08,-1.3124688299786035e-07,4.1672379321942555e-08
abstraction,0.0012674389919054658,-0.0002905681686953549,8.727988520099981e-07,-2.5057631397150945e-07,-2.5057631397150945e-07,-0.000179708893668653,0.00011085927502670188,-6.803546308174814e-07,-1.5531534828274794e-06,-9.256964081260172e-07,-6.751200941545078e-07,-9.256964081260172e-07,-6.751200941545078e-07
absurde,0.0014210802129142337,-0.0003894690407417144,-1.4626565993156011e-05,1.2436612779649894e-07,1.2436612779649894e-07,-0.00030194802302978827,8.752101771192613e-05,-9.516979061276196e-06,5.109586931879815e-06,8.131058443553904e-07,6.887397165588914e-07,8.131058443553904e-07,6.887397165588914e-07
abîmé,0.0021210922443316233,0.0020835479916233254,4.782070266257385e-05,-7.953713184326965e-07,-7.953713184326965e-07,0.0012516006322377021,-0.0008319473593856233,2.7031542347275734e-05,-2.0789160315298116e-05,-5.621245583976125e-07,2.3324676003508397e-07,-5.621245583976125e-07,2.3324676003508397e-07
académie,0.0011233129653739932,-0.0018405047453764678,-4.502933571923003e-05,-2.2610589154076677e-07,-2.2610589154076677e-07,-0.0010995962151153244,0.0007409085302611433,-2.562172012414235e-05,1.940761559508768e-05,3.2981702318983795e-07,5.559229147306047e-07,3.2981702318983795e-07,5.559229147306047e-07
accable,0.0013477457495689226,-0.0005722073642655003,-9.665527955665732e-06,-4.2568923908973916e-07,-4.2568923908973916e-07,-0.00035309295112161224,0.0002191144131438881,-5.3108119438995836e-06,4.354716011766149e-06,1.2682004053691887e-07,5.52509279626658e-07,1.2682004053691887e-07,5.52509279626658e-07
accablement,0.0011680796657691942,-0.0006701280130693558,-1.017897101461018e-05,1.100092812310147e-07,1.100092812310147e-07,-0.0004278573664328785,0.00024227064663647724,-6.4588149927784e-06,3.7201560218317796e-06,1.744441676000901e-07,6.44348863690754e-08,1.744441676000901e-07,6.44348863690754e-08
accablé,0.0008680870521299978,-0.0007224897670568952,-1.8969651206131378e-05,4.410919665519367e-07,4.410919665519367e-07,-0.0004287490238299915,0.00029374074322690376,-1.1242478604636584e-05,7.727172601494795e-06,5.090663317233632e-07,6.797436517142654e-08,5.090663317233632e-07,6.797436517142654e-08
accent,0.0011306578951467534,-0.0005531474736122719,-1.591615934604751e-05,1.52900099865375e-07,1.52900099865375e-07,-0.000327429411361374,0.00022571806225089793,-8.527161874031818e-06,7.388997472015693e-06,-5.445116559611804e-08,-2.0735126546149303e-07,-5.445116559611804e-08,-2.0735126546149303e-07
acceptable,0.0022219634159859085,0.0002531963715852481,1.0429066114197929e-05,-5.312703016192077e-07,-5.312703016192077e-07,0.00013711559938653633,-0.00011608077219871178,5.498842124518641e-06,-4.930223989679289e-06,-1.4196821024008124e-06,-8.884118007816047e-07,-1.4196821024008124e-06,-8.884118007816047e-07
acceptait,0.0023724002239718716,-0.0012779945003512255,-3.5986679908631895e-05,-8.547788917750928e-07,-8.547788917750928e-07,-0.0005937396356594051,0.0006842548646918202,-1.7654397408209734e-05,1.833228250042216e-05,-6.287408097052242e-07,2.260380820698686e-07,-6.287408097052242e-07,2.260380820698686e-07
acceptant,0.0010212678283205222,-0.00022642607794354255,-2.7277069816695725e-07,-5.1551468169611664e-08,-5.1551468169611664e-08,-0.00012036108365437627,0.00010606499428916628,6.006722069405883e-07,8.734429051075455e-07,-6.946749453208581e-07,-6.431234771512465e-07,-6.946749453208581e-07,-6.431234771512465e-07
accepte,0.004839974375356699,0.0023733960743762593,6.307528412536579e-05,-1.3477798416077064e-06,-1.3477798416077064e-06,0.0014181522198194107,-0.0009552438545568488,3.869850532495385e-05,-2.437677880041194e-05,-4.479691403499482e-06,-3.1319115618917753e-06,-4.479691403499482e-06,-3.1319115618917753e-06
