word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abandonnant,0.0036093880729047415,-0.0015237672889484575,-5.608807150176346e-05,9.892158162299654e-07,9.892158162299654e-07,-0.0009508667065989289,0.0005729005823495286,-2.8972205861845254e-05,2.7115865639918206e-05,2.5266755822156056e-07,-7.365482580084048e-07,2.5266755822156056e-07,-7.365482580084048e-07
abandonner,0.0023553537299404264,-0.00017329467532677055,-5.958147848365191e-06,4.958757923540227e-07,4.958757923540227e-07,-0.00012102491225895357,5.226976306781698e-05,-2.3389660066895082e-06,3.6191818416756825e-06,4.640206064082123e-07,-3.1855185945810375e-08,4.640206064082123e-07,-3.1855185945810375e-08
abandonné,0.0024100193872887794,0.0006221204419328509,1.0511969415733348e-05,2.924989101438036e-07,2.924989101438036e-07,0.00028727060883083,-0.00033484983310202093,5.9718708789310704e-06,-4.540098536802277e-06,-2.2408874485362073e-07,-5.165876549974243e-07,-2.2408874485362073e-07,-5.165876549974243e-07
abasourdi,0.004325042173426762,-0.0025948751140859073,-9.788411150217982e-05,-1.5473698718235277e-06,-1.5473698718235277e-06,-0.001210872476813756,0.0013840026372721513,-4.9596221494072484e-05,4.828789000810734e-05,-8.353286828360345e-07,7.120411889874932e-07,-8.353286828360345e-07,7.120411889874932e-07
abattre,0.0028856253407873204,-0.0018928440302852009,-6.341930595056035e-05,3.823247957677199e-07,3.823247957677199e-07,-0.0010426547558940575,0.0008501892743911433,-3.292735429917946e-05,3.0491951651380888e-05,7.059173770632829e-07,3.2359258129556303e-07,7.059173770632829e-07,3.2359258129556303e-07
abattue,0.004285171066119277,0.0006202930025977372,-1.4262963583738262e-05,-8.121956926792347e-07,-8.121956926792347e-07,0.0003493643662501981,-0.0002709286363475391,-6.438447109770248e-06,7.824516473968014e-06,-2.3896723921171912e-06,-1.5774766994379565e-06,-2.3896723921171912e-06,-1.5774766994379565e-06
abbé,0.09824988656212373,-0.05151286001330256,-0.0015928439930921606,-1.378708566569611e-06,-1.378708566569611e-06,-0.029840891574932877,0.021671968438369684,-0.00087960166067029,0.0007132423324218706,9.262256448162499e-06,1.064096501473211e-05,9.262256448162499e-06,1.064096501473211e-05
abcès,0.005584456928395912,-0.00018557560304434146,-3.157859799070399e-05,3.8322724120456737e-07,3.8322724120456737e-07,-0.00023802708902422856,-5.245148597988711e-05,-1.8950956096844765e-05,1.2627641893859222e-05,-7.454298795162322e-07,-1.1286571207207996e-06,-7.454298795162322e-07,-1.1286571207207996e-06
abeilles,0.004583780593640263,-0.0016631344703174134,-4.37505182557137e-05,7.909843997932194e-07,7.909843997932194e-07,-0.0009518907121069174,0.000711243758210496,-2.085702353752617e-05,2.289349471818753e-05,1.5085119951178806e-06,7.175275953246611e-07,1.5085119951178806e-06,7.175275953246611e-07
abois,0.005390485063425805,0.0017635949950006904,3.559649309680008e-05,1.2301046848980188e-06,1.2301046848980188e-06,0.0012059041311232115,-0.0005576908638774789,2.575912005027371e-05,-9.837373046526372e-06,3.0352655295126496e-07,-9.265781319467538e-07,3.0352655295126496e-07,-9.265781319467538e-07
abominable,0.007505079420855018,-0.0014133498164462244,-5.825533168525707e-05,-3.7693369117544046e-06,-3.7693369117544046e-06,-0.00048377581202330166,0.0009295740044229227,-3.25062324268943e-05,2.5749099258362773e-05,-1.9666524531229163e-06,1.8026844586314883e-06,-1.9666524531229163e-06,1.8026844586314883e-06
abricot,0.03248059459677797,0.0017556629071877172,-6.413242540048517e-05,-2.0092877845708614e-07,-2.0092877845708614e-07,0.0013011365172026022,-0.00045452638998511497,-2.0351291785689586e-05,4.3781133614795585e-05,-2.315368920914007e-06,-2.1144401424569207e-06,-2.315368920914007e-06,-2.1144401424569207e-06
abritait,0.0042307308655383,-8.607315005927286e-05,1.2925193183706759e-05,-2.1409211433476793e-07,-2.1409211433476793e-07,-0.00017729910358866218,-9.122595352938933e-05,2.1289923338837013e-06,-1.0796200849823059e-05,5.160763725581398e-07,7.301684868929078e-07,5.160763725581398e-07,7.301684868929078e-07
abritée,0.00639684162274239,0.001525381730300094,3.627659933057272e-05,-3.9393466875787545e-07,-3.9393466875787545e-07,0.000736488773410769,-0.000788892956889325,1.8345949337767727e-05,-1.7930649992804998e-05,-1.1882669089489178e-06,-7.943322401910424e-07,-1.1882669089489178e-06,-7.943322401910424e-07
absenter,0.0050896817067362,0.0025484495753838672,5.668820189192746e-05,4.636421380909115e-07,4.636421380909115e-07,0.001489588861107151,-0.0010588607142767161,3.260843508190616e-05,-2.4079766810021304e-05,-1.0433451188536432e-06,-1.5069872569445547e-06,-1.0433451188536432e-06,-1.5069872569445547e-06
absolument,0.009056075770959163,0.0013237721193705774,5.0536727464937605e-05,1.101592205603429e-06,1.101592205603429e-06,0.0008986035534978618,-0.0004251685658727156,2.8025929339642612e-05,-2.2510798125294997e-05,1.76680150173787e-06,6.652092961344412e-07,1.76680150173787e-06,6.652092961344412e-07
absolution,0.011819040593340402,-0.0006456049971840695,-6.0881812358684514e-05,-1.798355467234526e-06,-1.798355467234526e-06,-0.0007056813600344008,-6.0076362850331276e-05,-3.932208723126541e-05,2.1559725127419107e-05,-4.91156639588667e-06,-3.1132109286521437e-06,-4.91156639588667e-06,-3.1132109286521437e-06
absorba,0.006044971646401437,0.001949702053429465,8.622924381108741e-05,-6.454100934465414e-07,-6.454100934465414e-07,0.0015023222163844528,-0.0004473798370450122,5.6502585764864614e-05,-2.97266580462228e-05,-2.3085809892207753e-07,4.1455199452446395e-07,-2.3085809892207753e-07,4.1455199452446395e-07
absurde,0.003096041381180729,-0.0009258598130468391,-1.707511162158611e-05,3.275475960405592e-07,3.275475960405592e-07,-0.0005474214456447298,0.00037843836740210937,-8.370398826178096e-06,8.704712795408015e-06,1.0206190085181992e-06,6.9307141247764e-07,1.0206190085181992e-06,6.9307141247764e-07
abus,0.01932129382560377,-0.006507665870958688,-0.00019651558282544676,-5.799325130553026e-06,-5.799325130553026e-06,-0.0018402247439351428,0.004667441127023546,-7.217033545467346e-05,0.0001243452473707733,-3.1515820174206195e-06,2.647743113132407e-06,-3.1515820174206195e-06,2.647743113132407e-06
accablait,0.00525377064401712,-0.0008120704661415607,-5.162152125013264e-05,-1.088110545815447e-06,-1.088110545815447e-06,-9.128586888965652e-05,0.0007207845972519042,-1.924725679874874e-05,3.23742644513839e-05,-1.6444247736319135e-06,-5.563142278164667e-07,-1.6444247736319135e-06,-5.563142278164667e-07
accent,0.0024633117817849165,-0.0004227775008150025,-2.1516392671101346e-05,3.4375789180440424e-07,3.4375789180440424e-07,-0.00015285995716144655,0.00026991754365355593,-9.643383208665657e-06,1.187300946243569e-05,-1.500895442554355e-07,-4.938474360598398e-07,-1.500895442554355e-07,-4.938474360598398e-07
accepta,0.0034256429585135828,0.003566361218005961,7.922707467559938e-05,-8.201907052292948e-07,-8.201907052292948e-07,0.0019788083983522738,-0.0015875528196536873,4.2970730291224544e-05,-3.625634438437483e-05,-2.04270726952615e-06,-1.2225165642968553e-06,-2.04270726952615e-06,-1.2225165642968553e-06
acceptaient,0.005748545865676831,0.000392102516376216,3.628072102454699e-05,8.197634336593745e-07,8.197634336593745e-07,8.675760774079807e-05,-0.0003053449086354179,1.4481878248777228e-05,-2.1798842775769762e-05,2.8718836373429063e-06,2.052120203683532e-06,2.8718836373429063e-06,2.052120203683532e-06
accepter,0.002247877619131259,0.0015679476085576549,3.738055073371221e-05,-1.7301648035150283e-07,-1.7301648035150283e-07,0.0008663907131651123,-0.0007015568953925427,2.0057073007287574e-05,-1.7323477726424642e-05,-1.014966764384539e-06,-8.419502840330361e-07,-1.014966764384539e-06,-8.419502840330361e-07
accepté,0.004688088703894675,0.004186958257417618,0.00011347728083017595,-1.0275929352110895e-06,-1.0275929352110895e-06,0.002602360665744345,-0.0015845975916732734,6.467452926855251e-05,-4.880275156162344e-05,-1.5292236539697213e-06,-5.016307187586316e-07,-1.5292236539697213e-06,-5.016307187586316e-07
acceptée,0.004894619449640617,0.003931799633548959,0.00012275723717663673,5.670796790573527e-07,5.670796790573527e-07,0.0019794746474643054,-0.0019523249860846532,6.16000956597627e-05,-6.115714151687404e-05,1.9799292891501859e-07,-3.6908675014233414e-07,1.9799292891501859e-07,-3.6908675014233414e-07
