word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abaissa,0.004245075997902929,0.001968543188773441,5.22336550785563e-05,1.1631171264882736e-06,1.1631171264882736e-06,0.0008604705327643427,-0.0011080726560090983,2.5034303281421e-05,-2.7199351797135302e-05,8.807156857600215e-08,-1.0750455579122715e-06,8.807156857600215e-08,-1.0750455579122715e-06
abaissait,0.00509118219096594,-0.00014303503041021435,-1.3393346150557332e-05,5.293338970997728e-07,5.293338970997728e-07,-5.600669745130095e-05,8.70283329589134e-05,-5.694724175608504e-06,7.698621974948827e-06,6.310628344471937e-08,-4.6622761365505344e-07,6.310628344471937e-08,-4.6622761365505344e-07
abaissant,0.0056811162627323645,-0.00043128356074377517,-6.151192378144895e-06,-7.987167841828617e-07,-7.987167841828617e-07,-0.00042881657674474815,2.466983999027008e-06,-8.281427487553405e-06,-2.13023510940851e-06,-7.038620549856269e-07,9.485472919723489e-08,-7.038620549856269e-07,9.485472919723489e-08
abaisse,0.0072273014035918555,-0.00019869282058946063,-7.2175733949101555e-06,2.15201901223913e-06,2.15201901223913e-06,-0.0002450555431143955,-4.636272252493489e-05,-7.761935274174663e-07,6.441379867492689e-06,1.2884907678320952e-06,-8.635282444070346e-07,1.2884907678320952e-06,-8.635282444070346e-07
abaisser,0.002191871891782056,0.00015571633745046275,-9.801091727382019e-06,3.7236296269942616e-08,3.7236296269942616e-08,-4.4410914521041804e-05,-0.00020012725197150456,-7.298572884860707e-06,2.5025188425213125e-06,-9.873723916309967e-07,-1.0246086879009394e-06,-9.873723916309967e-07,-1.0246086879009394e-06
abandonna,0.0015152855373820266,-0.000334740595785333,-9.482350436926919e-06,3.581576196591426e-07,3.581576196591426e-07,-0.00022577041590447473,0.00010897017988085825,-5.279698905771438e-06,4.202651531155481e-06,2.176189186555736e-07,-1.4053870100356899e-07,2.176189186555736e-07,-1.4053870100356899e-07
abandonnait,0.0015890031360778175,-0.00022727692072702218,-2.1792452921198016e-07,7.112222946787951e-08,7.112222946787951e-08,-2.9680346158232005e-06,0.00022430888611119898,2.3018553014382103e-06,2.5197798306501904e-06,7.362878604203643e-07,6.651656309524848e-07,7.362878604203643e-07,6.651656309524848e-07
abandonner,0.0009752310322486911,-7.330403598754601e-05,-2.466963073354789e-06,2.0531670241173566e-07,2.0531670241173566e-07,-4.6821600277943615e-05,2.64824357096024e-05,-9.684457175594179e-07,1.4985173557953712e-06,1.9212710567409732e-07,-1.3189596737638349e-08,1.9212710567409732e-07,-1.3189596737638349e-08
abandonnerai,0.0029652016049507013,6.96434409468114e-05,-6.2902594215955665e-06,-5.30319980213977e-07,-5.30319980213977e-07,0.00012846916966805346,5.882572872124206e-05,-2.5404613984802956e-06,3.7497980231152704e-06,-7.540490206062788e-07,-2.2372904039230176e-07,-7.540490206062788e-07,-2.2372904039230176e-07
abandonné,0.00099786527387733,0.00016410598217910937,4.352466745846958e-06,1.2110877888323515e-07,1.2110877888323515e-07,8.695678419209554e-05,-7.714919798701382e-05,2.4726450756350515e-06,-1.8798216702119063e-06,-9.278364229581663e-08,-2.138924211790518e-07,-9.278364229581663e-08,-2.138924211790518e-07
abandonnée,0.0034484023990647697,-0.0003062991495247509,-3.937927552227876e-06,-4.219160358541319e-07,-4.219160358541319e-07,6.304949990551416e-06,0.00031260409951530227,-3.1393358951892537e-07,3.6239939627089503e-06,-2.040586798102752e-07,2.178573560438567e-07,-2.040586798102752e-07,2.178573560438567e-07
abandonnées,0.001849670757376901,3.479307229900842e-05,1.0415843735934978e-05,7.726445165074779e-07,7.726445165074779e-07,-9.300866197422064e-05,-0.00012780173427322906,3.207609137453033e-06,-7.208234598481946e-06,1.0980298453698578e-06,3.2538532886238e-07,1.0980298453698578e-06,3.2538532886238e-07
abasourdi,0.0017907778732737468,-0.0010252573270079775,-4.052878422784984e-05,-6.40686406541217e-07,-6.40686406541217e-07,-0.00044735885522696544,0.000577898471781012,-2.053524855670932e-05,1.9993535671140518e-05,-3.4586671346801493e-07,2.9481969307320206e-07,-3.4586671346801493e-07,2.9481969307320206e-07
abat,0.004476547414697265,-0.002983900760020373,-8.350013008040689e-05,-6.527523019975664e-07,-6.527523019975664e-07,-0.0014548331635564132,0.0015290675964639597,-4.1859889175126744e-05,4.1640240905280155e-05,1.2032625756460823e-06,1.8560148776436487e-06,1.2032625756460823e-06,1.8560148776436487e-06
abattaient,0.0024946495566276817,-0.00033622512427824536,5.0843721190925106e-06,1.5300347376797826e-07,1.5300347376797826e-07,-0.00021563080891409157,0.00012059431536415381,7.976578710298459e-07,-4.286714248062664e-06,6.812798418002292e-07,5.282763680322509e-07,6.812798418002292e-07,5.282763680322509e-07
abattait,0.0020683263700930613,0.0011551450356211087,2.9625976720028114e-05,3.383224725046729e-07,3.383224725046729e-07,0.0006590285094023653,-0.0004961165262187434,1.5962917863740888e-05,-1.3663058856287226e-05,-2.0057293848760674e-07,-5.388954109922796e-07,-2.0057293848760674e-07,-5.388954109922796e-07
abattant,0.0024239738063418395,-0.0005773740572580935,-1.888782893301368e-05,5.558849575335525e-07,5.558849575335525e-07,-0.00035700840698586414,0.00022036565027222936,-9.25659045878149e-06,9.631238474232186e-06,6.483175389232854e-07,9.243258138973282e-08,6.483175389232854e-07,9.243258138973282e-08
abattit,0.0016790409193411838,-0.00020804683065040757,-8.648462489479979e-06,-8.07281800148864e-07,-8.07281800148864e-07,-9.084927927127856e-05,0.00011719755137912901,-6.337637823358056e-06,2.3108246661219226e-06,-7.449069626113153e-07,6.23748375375486e-08,-7.449069626113153e-07,6.23748375375486e-08
